Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2022-11-18,55,5.9,273.37,4003.580078125,,,,
2022-11-25,73,5.9,275.0,3957.6298828125,,,,
2022-12-02,52,5.9,273.4,3941.260009765625,1.0,0.4019,0.109,0.0
2022-12-09,57,5.9,272.04,4019.64990234375,,,,
2022-12-16,55,5.9,266.12,3821.6201171875,,,,
2022-12-23,63,5.9,267.57,3829.25,,,,
2022-12-30,89,5.9,263.53,3824.139892578125,,,,
2023-01-06,62,5.9,269.47,3919.25,,,,
2023-01-13,51,5.9,268.89,3990.969970703125,2.0,-0.5932,0.0335,0.1935
2023-01-20,52,5.9,268.58,4016.949951171875,,,,
2023-01-27,54,5.9,272.46,4076.60009765625,2.0,0.5267,0.108,0.0
2023-02-03,54,5.9,264.23,4164.0,,,,
2023-02-10,52,5.9,262.42,4136.1298828125,1.0,0.6808,0.207,0.06
2023-02-17,59,5.9,269.99,3997.340087890625,,,,
2023-02-24,62,5.9,263.68,3970.14990234375,,,,
2023-03-03,59,5.9,269.07,3986.3701171875,,,,
2023-03-10,59,5.9,262.03,3919.2900390625,,,,
2023-03-17,63,5.9,267.2,4002.8701171875,,,,
2023-03-24,60,5.9,271.33,3971.27001953125,,,,
2023-03-31,64,5.9,279.61,4100.60009765625,,,,
2023-04-14,62,5.9,288.98,4154.8701171875,1.0,0.4404,0.097,0.0
2023-04-21,62,5.9,292.06,4071.6298828125,,,,
2023-04-28,57,5.9,295.75,4119.580078125,,,,
2023-05-05,58,5.9,296.6,4119.169921875,,,,
2023-05-12,58,5.9,296.14,4109.89990234375,,,,
2023-05-19,58,5.9,295.55,4145.580078125,1.0,-0.2023,0.0,0.053
2023-05-26,60,5.9,286.04,4205.52001953125,,,,
2023-06-02,65,5.9,289.91,4283.85009765625,,,,
2023-06-09,61,5.9,286.79,4369.009765625,,,,
2023-06-16,71,5.9,293.7,4388.7099609375,1.0,0.4019,0.065,0.0
2023-06-23,63,5.9,289.91,4378.41015625,,,,
2023-06-30,82,5.9,298.41,4455.58984375,1.0,-0.6908,0.0,0.199
2023-07-07,79,6.5,292.1,4439.259765625,,,,
2023-07-14,72,6.5,294.94,4554.97998046875,,,,
2023-07-21,69,6.5,295.61,4567.4599609375,1.0,0.7717,0.165,0.0
2023-07-28,65,6.5,294.03,4576.72998046875,,,,
2023-08-04,62,6.5,287.02,4499.3798828125,,,,
2023-08-11,62,6.5,288.62,4437.85986328125,,,,
2023-08-18,62,6.5,281.74,4387.5498046875,,,,
2023-08-25,57,6.5,284.58,4497.6298828125,,,,
2023-09-01,58,6.5,280.94,4496.830078125,,,,
2023-09-08,56,6.5,279.22,4461.89990234375,,,,
2023-09-15,57,6.5,278.23,4443.9501953125,,,,
2023-09-22,67,6.5,272.22,4273.52978515625,,,,
2023-09-29,60,6.5,263.44,4229.4501953125,,,,
2023-10-06,57,6.7,248.22,4358.240234375,1.0,0.0,0.0,0.0
2023-10-13,62,6.7,248.31,4373.2001953125,,,,
2023-10-20,70,6.7,258.11,4247.68017578125,,,,
2023-10-27,63,6.7,255.76,4193.7998046875,,,,
2023-11-03,57,6.7,267.87,4378.3798828125,,,,
2023-11-10,57,6.7,267.79,4495.7001953125,,,,
2023-11-17,58,6.7,275.75,4538.18994140625,1.0,0.1779,0.061,0.0
